name,rating,total_rating,salaries
TCS,3.3,(1.2L),1.2L
Accenture,3.7,(75.4k),75.4k
Wipro,3.6,(66.5k),66.5k
Cognizant,3.7,(62.9k),62.9k
Capgemini,3.6,(55k),55k
HDFC Bank,3.8,(54.1k),54.1k
Infosys,3.5,(50k),50k
HCLTech,3.4,(47.2k),47.2k
ICICI Bank,3.9,(46.8k),46.8k
Tech Mahindra,3.3,(44.4k),44.4k
Genpact,3.6,(43.6k),43.6k
TP,3.9,(39.8k),39.8k
Axis Bank,3.6,(34.2k),34.2k
Jio,4.4,(34.1k),34.1k
Concentrix Corporation,3.5,(33k),33k
Amazon,3.9,(32.5k),32.5k
Reliance Retail,3.9,(27.9k),27.9k
iEnergizer,4.6,(27.6k),27.6k
LTM Limited,3.6,(27.2k),27.2k
HDB Financial Services,3.9,(26.4k),26.4k
IBM,3.9,(26.3k),26.3k
Larsen & Toubro Limited,3.9,(24.5k),24.5k
Deloitte,3.6,(24k),24k
Kotak Mahindra Bank,3.6,(23.1k),23.1k
Reliance Industries,4.0,(20.7k),20.7k
Vodafone Idea,3.9,(17.9k),17.9k
Bharti Airtel,3.8,(17.5k),17.5k
BYJU'S,3.2,(16.4k),16.4k
WNS,3.3,(15.7k),15.7k
IDFC FIRST Bank,4.0,(15.5k),15.5k
Ernst & Young,3.4,(15.1k),15.1k
IndusInd Bank,3.4,(14.7k),14.7k
AU Small Finance Bank,3.8,(14.6k),14.6k
Tata Motors,4.1,(14.5k),14.5k
Bajaj Finserv,3.9,(13.6k),13.6k
Flipkart,3.9,(13.4k),13.4k
Muthoot FinCorp,4.5,(13.4k),13.4k
PwC,3.3,(13.1k),13.1k
Mahindra & Mahindra,4.0,(12.5k),12.5k
HDFC Life,3.8,(12.4k),12.4k
Infosys BPM,3.5,(12.4k),12.4k
DXC Technology,3.6,(12.3k),12.3k
Bandhan Bank,3.7,(11.6k),11.6k
Digitide Solutions,3.4,(10.6k),10.6k
Yes Bank,3.7,(10.5k),10.5k
Mphasis,3.3,(10.5k),10.5k
Tata Steel,4.0,(10.2k),10.2k
Quess,3.8,(10k),10k
Asian Paints,3.9,(9.9k),9.9k
UltraTech Cement,4.1,(9.8k),9.8k
Startek,3.0,(9.8k),9.8k
Maruti Suzuki,4.1,(9.8k),9.8k
Paytm,3.2,(9.6k),9.6k
Bajaj Finance,3.9,(9.6k),9.6k
Shriram Finance,3.9,(9.4k),9.4k
Sutherland Global Services,3.3,(9.3k),9.3k
Equitas Small Finance Bank,4.3,(9.1k),9.1k
Coforge,3.3,(9.1k),9.1k
Wells Fargo,3.6,(9k),9k
Cipla,4.1,(8.8k),8.8k
EXL Service,3.6,(8.8k),8.8k
Ericsson,3.9,(8.6k),8.6k
Samsung,3.9,(8.5k),8.5k
Dr. Reddy's,4.0,(8.4k),8.4k
Optum Global Solutions,4.0,(8.2k),8.2k
JSW Steel,3.9,(8.2k),8.2k
Delhivery,3.8,(8.1k),8.1k
JPMorgan Chase & Co.,3.8,(8k),8k
ICICI Prudential Life Insurance,3.9,(8k),8k
Hexaware Technologies,3.4,(7.9k),7.9k
Ujjivan Small Finance Bank,4.0,(7.9k),7.9k
Jana Small Finance Bank,3.7,(7.8k),7.8k
Sun Pharmaceutical Industries,4.0,(7.8k),7.8k
Zydus Lifesciences,4.0,(7.8k),7.8k
Ekart Logistics,3.9,(7.7k),7.7k
HGS,3.7,(7.7k),7.7k
KPMG India,3.4,(7.6k),7.6k
Amazon Development Centre India,3.8,(7.5k),7.5k
Lupin,4.1,(7.5k),7.5k
Axis Max Life Insurance,4.0,(7.5k),7.5k
ITC,3.8,(7.4k),7.4k
L&T Construction,4.0,(7.4k),7.4k
Hindustan Unilever,4.2,(7.3k),7.3k
Megha Engineering & Infrastructures,3.9,(7.2k),7.2k
Tata Projects,4.2,(7k),7k
Cholamandalam Investment & Finance,3.8,(6.9k),6.9k
Bajaj Life Insurance,3.8,(6.9k),6.9k
L&T Technology Services,3.1,(6.9k),6.9k
FIS,3.7,(6.7k),6.7k
Oracle,3.3,(6.7k),6.7k
Omega Healthcare,3.7,(6.6k),6.6k
JLL,4.1,(6.6k),6.6k
Muthoot Finance,3.7,(6.6k),6.6k
eClerx,3.1,(6.5k),6.5k
IIFL Finance,4.0,(6.5k),6.5k
Indian Army,4.7,(6.4k),6.4k
DMart,3.9,(6.4k),6.4k
PolicyBazaar,3.8,(6.3k),6.3k
Piramal Finance,4.2,(6.3k),6.3k
Indiamart Intermesh,3.6,(6.3k),6.3k
Virtusa Consulting Services,3.7,(6.3k),6.3k
HSBC Group,3.8,(6.2k),6.2k
SMFG India Credit,3.9,(6.2k),6.2k
Access Healthcare,3.7,(6.1k),6.1k
HCL Group,3.5,(6.1k),6.1k
BigBasket,3.9,(6k),6k
Manappuram Finance,3.9,(6k),6k
ICICI Lombard General Insurance Company,3.5,(6k),6k
Siemens,3.9,(5.9k),5.9k
GlobalLogic,3.5,(6k),6k
Firstsource Solutions,3.5,(5.9k),5.9k
Apollo Hospitals,4.0,(5.9k),5.9k
Aurobindo Pharma,4.0,(5.9k),5.9k
Shapoorji Pallonji Group,4.1,(5.9k),5.9k
Tata Capital,4.0,(5.9k),5.9k
UST,3.7,(5.8k),5.8k
Swiggy,3.7,(5.8k),5.8k
Standard Chartered,3.6,(5.8k),5.8k
Mahindra Finance,3.8,(5.8k),5.8k
Bosch Global Software Technologies,3.7,(5.8k),5.8k
Udaan,3.9,(5.7k),5.7k
Citicorp,3.6,(5.7k),5.7k
Ashok Leyland,4.0,(5.7k),5.7k
Hero MotoCorp,4.1,(5.6k),5.6k
CGI Inc,4.0,(5.6k),5.6k
SBI Cards & Payment Services,3.6,(5.5k),5.5k
NTT DATA,3.8,(5.4k),5.4k
Kalpataru Projects International,4.1,(5.4k),5.4k
BNY,3.6,(5.4k),5.4k
Cyient,3.6,(5.4k),5.4k
Nagarjuna Construction Company,4.0,(5.4k),5.4k
IQVIA,3.7,(5.4k),5.4k
Schneider Electric,4.1,(5.4k),5.4k
SBI Life Insurance Company,3.7,(5.3k),5.3k
CBRE,4.1,(5.3k),5.3k
JustDial,3.5,(5.3k),5.3k
TVS Motor,3.8,(5.2k),5.2k
State Bank of India,3.9,(5.2k),5.2k
Persistent Systems,3.6,(5.2k),5.2k
KEC International,4.0,(5.1k),5.1k
ITC Infotech,3.8,(5.1k),5.1k
Amdocs,3.6,(5k),5k
Atos,3.8,(5k),5k
vivo,4.0,(5k),5k
Varun Beverages,4.0,(5k),5k
JBM Group,3.9,(5k),5k
Utkarsh Small Finance Bank,3.6,(5k),5k
Ecom Express,4.1,(4.9k),4.9k
Randstad,3.7,(4.9k),4.9k
Nagarro,3.9,(4.8k),4.8k
EY Global Delivery Services ( EY GDS),3.5,(4.8k),4.8k
Bosch,4.1,(4.8k),4.8k
Eviden,3.6,(4.8k),4.8k
Hetero,3.9,(4.8k),4.8k
Intas Pharmaceuticals,4.1,(4.8k),4.8k
Havells,3.9,(4.8k),4.8k
L&T Finance,3.9,(4.7k),4.7k
R1 RCM,3.8,(4.7k),4.7k
Tata AIA Life Insurance,3.8,(4.7k),4.7k
Aditya Birla Fashion and Retail,4.0,(4.7k),4.7k
Hewlett Packard Enterprise,4.0,(4.7k),4.7k
Cars24,3.4,(4.7k),4.7k
Mahindra Logistics,3.7,(4.7k),4.7k
Lenskart,3.3,(4.7k),4.7k
Berger Paints,3.7,(4.6k),4.6k
Dell,3.8,(4.6k),4.6k
Home Credit Finance,4.0,(4.6k),4.6k
Deutsche Bank,3.8,(4.6k),4.6k
Motilal Oswal Financial Services,3.7,(4.5k),4.5k
OPPO,3.9,(4.5k),4.5k
TeamLease Services,3.9,(4.5k),4.5k
Hyundai Motor India Limited,4.1,(4.5k),4.5k
VE Commercial Vehicles,3.9,(4.5k),4.5k
Thermax Limited,4.2,(4.4k),4.4k
Jubilant Foods Works,3.7,(4.4k),4.4k
Macleods Pharmaceuticals,3.7,(4.4k),4.4k
Carelon Global Solutions,3.9,(4.4k),4.4k
Aakash Educational Services,3.2,(4.3k),4.3k
State Street Corporation,3.5,(4.3k),4.3k
Jindal Steel Limited,3.9,(4.3k),4.3k
Hindalco Industries,4.2,(4.3k),4.3k
Bajaj Auto,3.8,(4.3k),4.3k
LG Electronics,3.8,(4.2k),4.2k
HDFC ERGO General Insurance,3.9,(4.2k),4.2k
DCB Bank,3.8,(4.2k),4.2k
Kogta Financial India Limited,4.6,(4.2k),4.2k
Royal Enfield,4.2,(4.2k),4.2k
John Deere,4.0,(4.1k),4.1k
RBL Bank,3.5,(4.1k),4.1k
Tata Communications,3.8,(4.1k),4.1k
Publicis Sapient,3.2,(4.1k),4.1k
Cummins,4.3,(4.1k),4.1k
Cloudnine Hospital,4.5,(4.1k),4.1k
Alembic Pharmaceuticals,3.9,(4k),4k
Pidilite Industries,4.2,(4k),4k
Aditya Birla Sun Life Insurance,4.0,(4k),4k
Bank of America,4.1,(4k),4k
Grasim Industries,4.0,(4k),4k
PNB MetLife,3.3,(4k),4k
Oyo Rooms,3.0,(4k),4k
American Express,4.1,(4k),4k
Kyndryl,3.9,(4k),4k
Aditya Birla Capital,3.8,(4k),4k
Subros,3.7,(3.9k),3.9k
KPIT Technologies,2.8,(3.9k),3.9k
ADP Private Limited,3.8,(3.9k),3.9k
Escorts Kubota Limited,4.1,(3.9k),3.9k
Maersk,3.9,(3.9k),3.9k
Viatris,4.1,(3.9k),3.9k
JK Cement,4.0,(3.9k),3.9k
XpressBees,4.1,(3.9k),3.9k
PVR INOX,3.9,(3.9k),3.9k
Altruist Technologies,4.3,(3.9k),3.9k
Birlasoft,3.4,(3.9k),3.9k
PhonePe,4.0,(3.9k),3.9k
Blinkit,3.8,(3.9k),3.9k
Synechron,3.4,(3.8k),3.8k
Glenmark Pharmaceuticals,3.8,(3.8k),3.8k
Reliance Communications,3.9,(3.8k),3.8k
Sodexo,4.0,(3.8k),3.8k
Kotak Mahindra Life Insurance Company,3.5,(3.8k),3.8k
Bharat Electronics,4.2,(3.8k),3.8k
Dabur,3.8,(3.8k),3.8k
Cogent E Services,3.1,(3.8k),3.8k
UNO Minda,3.9,(3.7k),3.7k
ArcelorMittal Nippon Steel India,4.1,(3.7k),3.7k
Godrej & Boyce Manufacturing,3.8,(3.7k),3.7k
Ipca Laboratories,3.8,(3.7k),3.7k
Abbott,4.1,(3.7k),3.7k
Aarti Industries,4.1,(3.7k),3.7k
Samvardhana Motherson Group,3.7,(3.7k),3.7k
Reliance Projects & Property Management Services,4.0,(3.7k),3.7k
Reliance Digital,4.1,(3.7k),3.7k
IGT Solutions,3.2,(3.7k),3.7k
MRF Tyres,3.6,(3.6k),3.6k
Indian Oil Corporation,4.3,(3.6k),3.6k
"NTT DATA, Inc.",3.9,(3.6k),3.6k
Alkem Laboratories,3.9,(3.6k),3.6k
Johnson Controls,3.5,(3.6k),3.6k
Honda Motorcycle & Scooter,4.1,(3.6k),3.6k
[24]7.ai,3.4,(3.6k),3.6k
Vishal Mega Mart,3.7,(3.5k),3.5k
Barclays,3.7,(3.5k),3.5k
Hindustan Coca Cola Beverages,4.0,(3.5k),3.5k
DTDC Express,3.7,(3.5k),3.5k
Bajaj General Insurance Limited,3.6,(3.5k),3.5k
RSPL Group,4.0,(3.5k),3.5k
TVS Credit Services Ltd,4.1,(3.5k),3.5k
UBS,3.8,(3.5k),3.5k
IndusInd Nippon Life Insurance,3.3,(3.5k),3.5k
ABB,4.0,(3.5k),3.5k
AGS Health,3.9,(3.5k),3.5k
Ceat Tyres,3.9,(3.5k),3.5k
Sagility,3.9,(3.4k),3.4k
NatWest Group,3.9,(3.4k),3.4k
Ford Motor,4.2,(3.4k),3.4k
HARMAN,3.8,(3.4k),3.4k
Alstom Transportation,3.7,(3.4k),3.4k
Croma,3.8,(3.4k),3.4k
Niva Bupa Health Insurance Company,4.0,(3.4k),3.4k
InterGlobe Aviation,3.4,(3.4k),3.4k
Conduent,3.4,(3.4k),3.4k
Tata Technologies,3.4,(3.4k),3.4k
Tata AIG,4.0,(3.3k),3.3k
Indian Air Force,4.6,(3.3k),3.3k
GeBBS Healthcare Solutions,3.8,(3.3k),3.3k
Tata AutoComp Systems,3.7,(3.3k),3.3k
Canara HSBC Life Insurance,4.1,(3.3k),3.3k
Jindal Stainless,4.1,(3.3k),3.3k
UPL,4.1,(3.3k),3.3k
PepsiCo,4.0,(3.3k),3.3k
Max Healthcare,4.0,(3.3k),3.3k
Mankind Pharma,3.8,(3.2k),3.2k
Ambuja Cements,3.9,(3.2k),3.2k
Titan Company,4.2,(3.2k),3.2k
Amazon Transportation Services,4.2,(3.2k),3.2k
Tata Electronics,3.8,(3.2k),3.2k
S&P Global,3.9,(3.2k),3.2k
Allcargo Logistics,3.8,(3.2k),3.2k
Societe Generale Global Solution Centre,3.6,(3.2k),3.2k
Dilip Buildcon,3.9,(3.2k),3.2k
MSN Laboratories,3.6,(3.2k),3.2k
Varroc Group,3.6,(3.2k),3.2k
Quest Global,3.5,(3.2k),3.2k
Walmart,3.4,(3.2k),3.2k
ESAF Small Finance Bank,3.6,(3.2k),3.2k
Ola Electric Mobility,3.3,(3.2k),3.2k
Afcons Infrastructure,4.2,(3.2k),3.2k
IDFC FIRST Bharat,4.2,(3.2k),3.2k
Torrent Pharmaceuticals,4.0,(3.1k),3.1k
DS Group,4.0,(3.1k),3.1k
Marpu Foundation,4.9,(3.1k),3.1k
Zepto,3.6,(3.1k),3.1k
Bharat Financial Inclusion,3.7,(3.1k),3.1k
Tata Elxsi,3.4,(3.1k),3.1k
HDFC Sales,3.9,(3.1k),3.1k
Zensar Technologies,3.6,(3.1k),3.1k
Square Yards,3.5,(3.1k),3.1k
Suzlon Group,4.0,(3.1k),3.1k
Indus Towers,3.6,(3.1k),3.1k
Eternal Limited,3.6,(3.1k),3.1k
Fujitsu,3.8,(3k),3k
VVDN Technologies,3.6,(3k),3k
I Process Services,3.8,(3k),3k
CMS IT Services,3.1,(3k),3k
Future Group,4.2,(3k),3k
IKS Health,3.5,(3k),3k
ACC,3.9,(3k),3k
Yazaki,3.9,(3k),3k
Shree Cement,3.8,(3k),3k
Shoppers Stop,3.9,(3k),3k
Nokia,4.0,(3k),3k
Apollo Tyres,4.0,(3k),3k
Fiserv,2.7,(2.9k),2.9k
Physicswallah,3.6,(2.9k),2.9k
Britannia,4.0,(2.9k),2.9k
Exl India,3.5,(2.9k),2.9k
Landmark Group,3.8,(2.9k),2.9k
Foxconn,3.8,(2.9k),2.9k
Dalmia Bharat Cement,3.9,(2.9k),2.9k
SRF,4.1,(2.9k),2.9k
Kansai Nerolac Paints,3.8,(2.9k),2.9k
ZS,3.0,(2.8k),2.8k
Blue Dart Express Ltd,3.9,(2.8k),2.8k
Nestlé,3.7,(2.8k),2.8k
Star Health & Allied Insurance,3.5,(2.8k),2.8k
Exide Industries,3.4,(2.8k),2.8k
UnitedHealth,4.0,(2.8k),2.8k
Shell,3.9,(2.8k),2.8k
Micro Labs,3.6,(2.8k),2.8k
KPMG Global Services,3.4,(2.8k),2.8k
TVS Supply Chain Solutions,3.8,(2.8k),2.8k
Flex,3.9,(2.8k),2.8k
Blue Star,4.0,(2.7k),2.7k
ElasticRun,3.6,(2.7k),2.7k
KFintech,3.3,(2.7k),2.7k
Care Health Insurance,3.5,(2.7k),2.7k
Gallagher,3.6,(2.7k),2.7k
Tata Advanced Systems,3.7,(2.7k),2.7k
Ajanta Pharma,3.9,(2.7k),2.7k
Movate,3.1,(2.7k),2.7k
G4S,4.0,(2.7k),2.7k
Sonalika Tractors,3.5,(2.7k),2.7k
Capita,3.5,(2.7k),2.7k
Voltas,4.0,(2.7k),2.7k
Photon Interactive,4.0,(2.7k),2.7k
Whitehat jr,3.3,(2.7k),2.7k
Adani Power,3.7,(2.7k),2.7k
ACT Fibernet,3.8,(2.7k),2.7k
DBS Bank,3.7,(2.7k),2.7k
BlackBuck,3.7,(2.7k),2.7k
NoBroker,3.0,(2.7k),2.7k
Himalaya Wellness,3.9,(2.7k),2.7k
Foundever,3.3,(2.7k),2.7k
IntouchCX,2.7,(2.7k),2.7k
Laurus Labs,4.3,(2.6k),2.6k
Fortis Healthcare,4.0,(2.6k),2.6k
Domino's Pizza,3.9,(2.6k),2.6k
BT Group,3.8,(2.6k),2.6k
GAO Tek,4.4,(2.6k),2.6k
JCB,3.8,(2.6k),2.6k
V-Mart,4.0,(2.6k),2.6k
Sahrudaya Healthcare (Medicover Hospitals),4.3,(2.6k),2.6k
Alldigi Tech,3.8,(2.6k),2.6k
Northern Trust Operating Services,3.6,(2.6k),2.6k
Adani Group,3.8,(2.6k),2.6k
Sterlite Technologies,3.8,(2.6k),2.6k
CorroHealth Infotech,3.5,(2.6k),2.6k
Tractors and Farm Equipment,3.9,(2.5k),2.5k
ICICI Securities,3.9,(2.5k),2.5k
Bajaj Electricals,3.9,(2.5k),2.5k
Parle Agro,3.9,(2.5k),2.5k
Sammaan Capital Limited,3.7,(2.5k),2.5k
Emcure Pharmaceuticals,3.6,(2.5k),2.5k
TaskUs,2.9,(2.5k),2.5k
Biocon Limited,4.0,(2.5k),2.5k
Planet Spark,3.8,(2.5k),2.5k
Hero FinCorp,3.9,(2.5k),2.5k
Cadila Pharmaceuticals,3.1,(2.5k),2.5k
Mahindra Holidays & Resorts,3.5,(2.5k),2.5k
Intellect Design Arena,3.5,(2.5k),2.5k
Mahindra Rural Housing Finance,4.0,(2.5k),2.5k
Datamatics Global Services,3.4,(2.5k),2.5k
Syngene International,3.7,(2.5k),2.5k
McDonald's,3.8,(2.5k),2.5k
Newgen Software Technologies,4.1,(2.5k),2.5k
Team Computers,3.7,(2.5k),2.5k
Paras Hospital,4.1,(2.5k),2.5k
Patanjali Ayurved,3.9,(2.5k),2.5k
Bureau Veritas,3.8,(2.4k),2.4k
RMSI,3.5,(2.4k),2.4k
3i Infotech,3.4,(2.4k),2.4k
Aditya Birla Group,4.1,(2.4k),2.4k
Cholamandalam MS General Insurance,3.7,(2.4k),2.4k
Info Edge,3.8,(2.4k),2.4k
Taj Hotels Resorts and Palaces,4.2,(2.4k),2.4k
Delhi Public School,3.7,(2.4k),2.4k
Aavas Financiers,3.9,(2.4k),2.4k
Statestreet HCL Services,3.4,(2.4k),2.4k
Lodha,4.2,(2.4k),2.4k
Capgemini Engineering,3.3,(2.4k),2.4k
Axis Direct,3.6,(2.4k),2.4k
Apollo Pharmacy,3.7,(2.4k),2.4k
TCE,3.9,(2.4k),2.4k
Straive,3.3,(2.4k),2.4k
Cybage,3.7,(2.4k),2.4k
Kia India,3.9,(2.4k),2.4k
Sopra Steria,3.9,(2.4k),2.4k
GVK Emergency Management and Research Institute,3.6,(2.4k),2.4k
SBI Securities,3.6,(2.4k),2.4k
Xoriant,4.0,(2.4k),2.4k
KocharTech,3.6,(2.4k),2.4k
Akums Drugs & Pharmaceuticals Limited,4.2,(2.4k),2.4k
Star Union Dai-ichi Life Insurance,3.8,(2.4k),2.4k
Endurance Technologies Limited,3.9,(2.3k),2.3k
Sobha,3.8,(2.3k),2.3k
Bharat Petroleum,4.2,(2.3k),2.3k
BNP Paribas,3.7,(2.3k),2.3k
Daikin Airconditioning India Pvt. Ltd.,4.2,(2.3k),2.3k
Eureka Forbes,3.6,(2.3k),2.3k
JK Tyre,3.9,(2.3k),2.3k
Panasonic Life Solutions India,4.0,(2.3k),2.3k
Lifestyle,4.2,(2.3k),2.3k
Myntra,3.8,(2.3k),2.3k
AWL Agri Business,4.1,(2.3k),2.3k
Radisson Hotels,4.0,(2.3k),2.3k
SBI General Insurance,3.5,(2.3k),2.3k
Bharti AXA Life Insurance,3.6,(2.3k),2.3k
Unacademy,3.0,(2.3k),2.3k
Cisco,4.1,(2.3k),2.3k
Renault Nissan Technology & Business Centre India,3.6,(2.3k),2.3k
Meesho,3.7,(2.3k),2.3k
Coromandel International,4.1,(2.3k),2.3k
Sify Technologies,3.6,(2.2k),2.2k
ValueLabs,3.4,(2.2k),2.2k
Indian Railways,4.2,(2.2k),2.2k
Lava International,3.9,(2.2k),2.2k
Henry Harvin Education,4.0,(2.2k),2.2k
Whirlpool,4.0,(2.2k),2.2k
Shahi Exports,3.9,(2.2k),2.2k
Allstate,3.7,(2.2k),2.2k
Bank of Baroda,3.6,(2.2k),2.2k
GlaxoSmithKline Pharmaceuticals,4.1,(2.2k),2.2k
Mercedes-Benz Research and Development India,3.5,(2.2k),2.2k
Generali Central Life Insurance,3.4,(2.2k),2.2k
Manipal Hospitals,4.0,(2.2k),2.2k
Poonawalla Fincorp,3.5,(2.2k),2.2k
Infinite Computer Solutions,3.2,(2.2k),2.2k
FirstCry,3.5,(2.2k),2.2k
Spark Minda,3.8,(2.2k),2.2k
Nuvoco Vistas,4.1,(2.2k),2.2k
Jio Platforms,3.4,(2.2k),2.2k
Saint-Gobain,3.8,(2.2k),2.2k
Life Insurance Corporation of India,4.4,(2.2k),2.2k
Brakes India,3.9,(2.2k),2.2k
CAMS,3.5,(2.2k),2.2k
Cargill,3.9,(2.2k),2.2k
NTT DATA Business Solutions,4.1,(2.2k),2.2k
BHEL,4.2,(2.2k),2.2k
Nokia Networks,4.1,(2.2k),2.2k
upGrad,3.3,(2.2k),2.2k
Microsoft Corporation,3.8,(2.2k),2.2k
Power Mech Projects,3.8,(2.2k),2.2k
Kotak Securities,3.4,(2.2k),2.2k
Force Motors,3.7,(2.2k),2.2k
CitiusTech,3.0,(2.2k),2.2k
Pfizer,3.9,(2.1k),2.1k
"Maruti Suzuki India Limited, Hansalpur",4.2,(2.1k),2.1k
Provana,4.1,(2.1k),2.1k
EPAM Systems,3.6,(2.1k),2.1k
IndusInd General Insurance,3.6,(2.1k),2.1k
Biological E,4.2,(2.1k),2.1k
SGS,3.7,(2.1k),2.1k
ITC Hotels,4.0,(2.1k),2.1k
Huawei Technologies,4.1,(2.1k),2.1k
Reliance Trends,4.1,(2.1k),2.1k
Morgan Stanley,3.5,(2.1k),2.1k
K12 Techno Services,3.7,(2.1k),2.1k
Simplex Infrastructures,3.4,(2.1k),2.1k
Raymond Lifestyle Limited,4.2,(2.1k),2.1k
Delphi TVS,3.8,(2.1k),2.1k
Aditya Birla Health Insurance Co,3.7,(2.1k),2.1k
YASH Technologies,3.6,(2.1k),2.1k
Narayana Health,4.0,(2.1k),2.1k
Ola Cabs,3.2,(2.1k),2.1k
Renault-Nissan,4.1,(2.1k),2.1k
Extramarks Education,3.2,(2.1k),2.1k
Shadowfax Technologies,3.5,(2.1k),2.1k
Trent,3.8,(2k),2k
IDBI Bank,3.3,(2k),2k
Haier Appliances India,3.9,(2k),2k
Senco Gold,4.4,(2k),2k
Novartis,4.2,(2k),2k
Motherson Automotive Technologies and Engineering,3.7,(2k),2k
Honeywell Automation,3.7,(2k),2k
R.R. Donnelley,3.6,(2k),2k
AECOM,4.2,(2k),2k
Schindler,3.9,(2k),2k
HSBC Electronic Data Processing,4.0,(2k),2k
L&T Energy Hydrocarbon,3.8,(2k),2k
SAP,4.1,(2k),2k
TELUS Digital,3.5,(2k),2k
Aye Finance,4.1,(2k),2k
Globiva,3.0,(2k),2k
Paisabazaar.com,3.4,(2k),2k
CMS Infosystems,3.5,(2k),2k
V-Guard,4.3,(2k),2k
Uflex,3.8,(2k),2k
Ninjacart,3.8,(2k),2k
Crisil,3.5,(2k),2k
Godrej Properties,3.6,(2k),2k
Dr Lal PathLabs,4.2,(2k),2k
Spinny,3.6,(2k),2k
Microland,3.5,(2k),2k
Adecco Group,3.8,(2k),2k
NCR Voyix,3.4,(2k),2k
Aadhar Housing Finance,4.0,(2k),2k
Hinduja Leyland Finance,4.3,(2k),2k
CNH (Case New Holland),3.7,(2k),2k
Torrent Power,3.8,(2k),2k
Gabriel India Limited,4.0,(2k),2k
State Street Syntel,3.7,(2k),2k
Parle Products,3.9,(2k),2k
CSB Bank,3.2,(2k),2k
HTC Global Services,3.3,(2k),2k
Orchids International School,4.0,(2k),2k
Philips,3.8,(2k),2k
G R Infraprojects,4.1,(2k),2k
Tata Power,3.9,(2k),2k
Trident Group,3.3,(2k),2k
DHL Supply Chain,4.1,(2k),2k
Angel One,3.5,(2k),2k
NTPC,4.2,(2k),2k
Rungta Mines,3.9,(2k),2k
Iris Software,3.7,(2k),2k
ICICI Home Finance,3.8,(2k),2k
Verizon,3.5,(1.9k),1.9k
Lucas-TVS,3.9,(1.9k),1.9k
Thomson Reuters,3.7,(1.9k),1.9k
Infinx,3.7,(1.9k),1.9k
Safexpress,3.9,(1.9k),1.9k
Tekwissen,4.9,(1.9k),1.9k
PI Industries,3.8,(1.9k),1.9k
NeoSOFT,3.2,(1.9k),1.9k
Google,4.4,(1.9k),1.9k
Jindal Saw,4.1,(1.9k),1.9k
Polycab Wires,4.0,(1.9k),1.9k
Capri Global Capital,3.6,(1.9k),1.9k
Medi Assist India,3.4,(1.9k),1.9k
Hindustan Aeronautics,4.3,(1.9k),1.9k
Fusion CX,3.2,(1.9k),1.9k
Tata Tele Business Services,3.4,(1.9k),1.9k
TVS Sundram Fasteners,3.6,(1.9k),1.9k
Infra.Market,3.8,(1.9k),1.9k
AXA Global Business Services,3.6,(1.9k),1.9k
Aragen Life Sciences,3.9,(1.9k),1.9k
Digit Insurance,3.6,(1.9k),1.9k
KENT RO Systems,3.7,(1.9k),1.9k
First American (India),3.5,(1.9k),1.9k
Haldiram Foods International Limited,3.8,(1.9k),1.9k
AkzoNobel,4.1,(1.8k),1.8k
Honda Cars,4.3,(1.8k),1.8k
Hindustan Petroleum,4.2,(1.8k),1.8k
Adani Green Energy,3.9,(1.8k),1.8k
DIVI'S Laboratories,3.6,(1.8k),1.8k
Innovsource Services,3.9,(1.8k),1.8k
MetLife,4.0,(1.8k),1.8k
Air India,3.4,(1.8k),1.8k
Sterling & Wilson,4.1,(1.8k),1.8k
Isgec Heavy Engineering,3.8,(1.8k),1.8k
Pine Labs,3.2,(1.8k),1.8k
Cafe Coffee Day,3.7,(1.8k),1.8k
Reckitt Benckiser,3.9,(1.8k),1.8k
USV,4.0,(1.8k),1.8k
SS&C TECHNOLOGIES,3.2,(1.8k),1.8k
HDFC Securities,3.4,(1.8k),1.8k
USHA International,4.0,(1.8k),1.8k
LivSpace,3.3,(1.8k),1.8k
Annapurna Finance,3.8,(1.8k),1.8k
XBP Global,3.1,(1.8k),1.8k
Labmentix,4.5,(1.8k),1.8k
Granules India Limited,3.8,(1.8k),1.8k
Kalyan Jewellers,4.4,(1.8k),1.8k
Hitachi Astemo,4.0,(1.8k),1.8k
Bata,3.5,(1.8k),1.8k
Security and Intelligence Services (India),4.1,(1.8k),1.8k
Tata Communications Transformation Services,3.8,(1.8k),1.8k
Stellar Migration,1.3,(1.8k),1.8k
BT Business,3.9,(1.8k),1.8k
NielsenIQ,3.4,(1.8k),1.8k
TTEC India,3.6,(1.8k),1.8k
BVG India,4.2,(1.8k),1.8k
Cushman & Wakefield,4.1,(1.8k),1.8k
Orange Business,4.0,(1.8k),1.8k
IIFL SAMASTA,3.7,(1.8k),1.8k
Mother Dairy Fruit & Vegetable,4.0,(1.8k),1.8k
Medanta the Medicity,4.0,(1.7k),1.7k
Vedantu,3.3,(1.7k),1.7k
HighRadius,2.4,(1.7k),1.7k
Caterpillar Inc,4.1,(1.7k),1.7k
FactSet,3.7,(1.7k),1.7k
Dhani Loans and Services,3.9,(1.7k),1.7k
Cavinkare,3.9,(1.7k),1.7k
Future Retail,4.4,(1.7k),1.7k
Metro Cash & Carry,4.0,(1.7k),1.7k
Sysnet Global Technologies,3.6,(1.7k),1.7k
Tata 1mg,3.6,(1.7k),1.7k
Patanjali Foods,3.7,(1.7k),1.7k
Indian Navy,4.6,(1.7k),1.7k
Clover Infotech,3.3,(1.7k),1.7k
