date,event_time,event_title
2024-02-26,All day,Mid Term TCF
2024-03-13,All day,Mid Sem G & H
2026-03-01,All day,Mid Break
2026-12-01,All day,End Sem D
2024-05-22,All day,(Makeup Exam)
2024-11-28,All day,End Sem A
2024-12-06,All day,Makeup Exam
2024-03-25,All day,Mid Break
2026-02-28,All day,Mid Sem G&H
2025-11-26,All day,Last day of Techning
2025-03-15,All day,Mid  Break
2024-03-30,All day,Mid Break
2024-05-19,All day,End Sem G
2025-12-11,All day,Final CCM
2024-10-31,All day,Mid Break
2025-05-27,All day,Last Date for showing / seeing endsem answer sheets
2025-12-15,All day,(Last date for Makeup Exams)
2026-03-04,All day,Mid  Break
2025-05-24,All day,Vacation begins for Students
2024-05-10,All day,Last day of Teaching
2025-07-21,All day,Summer  End Sem / Supplementary Exams
2025-10-10,All day,Last Date for showing / seeing midsem answer sheets
2025-04-19,All day,Expecto
2025-05-05,All day,Final TCF Submission (upto 15th May)
2026-10-07,All day,Last Date for showing / seeing midsem answer sheets
2026-05-26,All day,(Grade submission for makeup exam cases)
2025-12-06,All day,End Sem H
2026-05-09,All day,End Sem H
2026-07-17,All day,Last day of Teachning Summer Term
2024-03-31,All day,Mid Break
2024-05-13,All day,End Sem A
2026-05-19,All day,Grade Submission
2025-07-25,All day,Summer  End Sem / Make up Exams
2026-02-25,All day,Mid Sem A&B
2025-03-05,All day,Mid  Sem E&F
2025-05-19,All day,End Sem D
2026-04-12,All day,Exodia
2026-03-06,All day,Mid  Break
2024-11-26,All day,(Last day of teching)
2024-04-16,All day,FEST
2025-03-09,All day,Mid  Break
2026-05-07,All day,End Sem F
2026-06-20,All day,14th Convocation
2025-11-01,All day,Friday Schedule
2024-02-05,All day,CCM Week
2024-04-06,All day,Wednesday Schedule
2026-10-10,All day,RANN-NEETI
2024-03-24,All day,Mid Break
2024-08-02,All day,Last date to submit fees
2025-09-15,All day,Mid sem TCF (upto 21 sep)
2026-02-26,All day,Mid Sem C&D
2024-11-30,All day,End Sem C
2025-09-22,All day,Mid Sem A&B
2025-12-12,All day,Grade Submission
2025-05-23,All day,End Sem H
2026-04-28,All day,Thursday Schedule
2025-05-29,All day,Grade Submission
2024-01-19,All day,Last date to submit Fees
2025-09-23,All day,Mid Sem C&D
2024-08-01,All day,Classes Begin: Students report to FA ( Add/Drop of courses starts)
2024-04-14,All day,FEST
2026-03-05,All day,Mid  Break
2024-03-28,All day,Mid Break
2025-10-11,All day,RANN- NEETI
2025-07-18,All day,Last day of Techning Summer Term
2025-12-10,All day,Last Date for showing / seeing endsem answer sheets
2024-05-17,All day,End Sem E
2024-12-10,All day,Final CCM
2025-11-30,All day,End Sem B
2024-12-04,All day,End Sem G
2026-03-07,All day,Mid  Break
2024-05-25,All day,Grade Submission
2024-11-29,All day,End Sem B
2026-09-25,All day,Mid Sem E & F
2026-11-29,All day,End Sem B
2026-03-02,All day,Holika Dahan
2026-09-23,All day,Mid Sem A &B
2026-09-26,All day,Mid Sem G & H
2025-10-26,All day,Mid  Break
2024-05-24,All day,Final CCM
2024-05-06,All day,TCF Starts
2026-05-15,All day,Last Date for showing / seeing endsem answer sheets
2026-11-30,All day,End Sem C
2024-03-26,All day,Mid Break
2024-04-20,All day,Tuesday Schedule
2026-05-18,All day,Final CCM
2025-06-03,All day,(Grade submission for makeup exam cases)
2024-12-06,All day,Vacation begins for Students
2024-10-29,All day,Mid Break
2026-09-24,All day,Mid Sem C & D
2024-04-13,All day,FEST
2025-07-22,All day,Summer  End Sem / Supplementary Exams
2025-10-03,All day,No Instrucation Day
2025-01-27,All day,Last date  to Add/Drop courses
2026-09-28,All day,Mid  Break
2025-03-04,All day,Mid Sem C&D
2025-10-22,All day,Mid  Break
2026-09-29,All day,Mid  Break
2025-05-17,All day,End Sem B
2026-05-08,All day,End Sem G
2024-03-11,All day,Mid Sem C & D
2025-05-16,All day,End Sem A
2025-12-03,All day,End Sem E
2026-04-20,All day,Final TCF Submission (upto 30th April)
2026-05-11,All day,Vacation begins for students
2026-12-22,All day,(Grade submission for makeup exam cases)
2025-03-11,All day,Mid  Break
2024-09-26,All day,Mid Sem E&F
2024-05-24 14:30,14:30,"SBB faculty meet on Friday 24th May @3 pm\, A4 conference"
2026-12-14,All day,Final CCM
2024-10-30,All day,Mid Break
2025-10-25,All day,Mid  Break
2025-03-20,All day,Last Date for showing / seeing midsem answer sheets
2025-03-10,All day,Mid  Break
2026-09-14,All day,Mid sem TCF (upto 24 sep)
2026-11-16,All day,Friday Schedule
2025-12-18,All day,(Grade submission for makeup exam cases)
2024-04-15,All day,FEST
2026-02-21,All day,Tuesday Schedule (to compensate 24.02.2026)
2026-04-11,All day,Exodia
2024-09-09,All day,Mid Term TCF
2026-12-05,All day,End Sem H
2025-10-23,All day,Mid  Break
2026-05-02,All day,End Sem A
2026-05-04,All day,End Sem C
2025-10-19,All day,Mid  Break
2024-08-24,All day,Monday Schedule
2024-11-01,All day,Mid Break
2024-05-20,All day,End Sem H
2025-06-02,All day,Summer Term Classes Begin
2026-11-26,All day,(Last day of Teachning)
2026-10-11,All day,RANN-NEETI
2026-03-15,All day,Expecto
2026-03-02,All day,Mid  Break
2024-12-01,All day,End Sem D
2025-09-25,All day,Mid Sem G&H
2024-01-18,All day,Classes Begin: Studetns report to FA (Add/Drop of Courses Start)
